19-10-2020 10:08:02 | 19-10-2020 10:08:02 |  | Connect SignalR 1
19-10-2020 10:24:32 | 19-10-2020 10:24:32 |  | Connect SignalR 1
19-10-2020 11:42:43 | 19-10-2020 11:42:43 |  | Connect SignalR 1
19-10-2020 13:29:59 | 19-10-2020 13:29:59 |  | Refresh result
19-10-2020 17:18:27 | 19-10-2020 17:18:27 |  | Refresh result
19-10-2020 17:18:33 | 19-10-2020 17:18:33 |  | Refresh result
19-10-2020 17:36:48 | 19-10-2020 17:36:48 |  | Refresh result
19-10-2020 17:38:08 | 19-10-2020 17:38:08 |  | Refresh result
19-10-2020 18:05:04 | 19-10-2020 18:05:04 |  | Refresh result
19-10-2020 18:09:16 | 19-10-2020 18:09:16 |  | Refresh result
19-10-2020 18:51:06 | 19-10-2020 18:51:06 |  | Refresh result
19-10-2020 18:52:06 | 19-10-2020 18:52:06 |  | Refresh result
19-10-2020 18:53:07 | 19-10-2020 18:53:07 |  | Refresh result
19-10-2020 18:53:19 | 19-10-2020 18:53:19 |  | Refresh result
19-10-2020 19:00:03 | 19-10-2020 19:00:03 |  | Refresh result
19-10-2020 19:20:32 | 19-10-2020 19:20:32 |  | Refresh result
19-10-2020 20:00:36 | 19-10-2020 20:00:36 |  | Refresh result
19-10-2020 20:05:01 | 19-10-2020 20:05:01 |  | Connect SignalR 1
19-10-2020 20:10:31 | 19-10-2020 20:10:31 |  | Refresh result
19-10-2020 20:10:31 | 19-10-2020 20:10:31 |  | Refresh result
19-10-2020 20:12:48 | 19-10-2020 20:12:48 |  | Refresh result
19-10-2020 20:12:48 | 19-10-2020 20:12:48 |  | Refresh result
