26-10-2020 17:37:36 | 26-10-2020 17:37:36 |  | Connect SignalR 1
26-10-2020 17:39:45 | 26-10-2020 17:39:45 |  | Refresh result
26-10-2020 17:40:26 | 26-10-2020 17:40:26 |  | Refresh result
26-10-2020 17:44:57 | 26-10-2020 17:44:57 |  | Refresh result
26-10-2020 17:47:55 | 26-10-2020 17:47:55 |  | Refresh result
26-10-2020 17:48:36 | 26-10-2020 17:48:36 |  | Connect SignalR 1
26-10-2020 17:48:52 | 26-10-2020 17:48:52 |  | Connect SignalR 1
26-10-2020 17:49:07 | 26-10-2020 17:49:07 |  | Refresh result
26-10-2020 17:49:07 | 26-10-2020 17:49:07 |  | Refresh result
26-10-2020 17:49:07 | 26-10-2020 17:49:07 |  | Refresh result
26-10-2020 17:53:29 | 26-10-2020 17:53:29 |  | Connect SignalR 1
26-10-2020 17:53:42 | 26-10-2020 17:53:42 |  | Refresh result
26-10-2020 17:53:42 | 26-10-2020 17:53:42 |  | Refresh result
26-10-2020 17:53:42 | 26-10-2020 17:53:42 |  | Refresh result
26-10-2020 17:53:42 | 26-10-2020 17:53:42 |  | Refresh result
