04-09-2020 14:17:33 | 04-09-2020 14:17:33 |  | before validation check
04-09-2020 14:17:39 | Save Testcase Exception |  | ORA-01722: invalid number
04-09-2020 14:18:00 | 04-09-2020 14:18:00 |  | before validation check
04-09-2020 14:18:08 | Save Testcase Exception |  | ORA-01722: invalid number
04-09-2020 14:18:25 | 04-09-2020 14:18:25 |  | before validation check
04-09-2020 14:18:28 | 04-09-2020 14:18:28 |  | after validation validation check
04-09-2020 14:18:48 | 04-09-2020 14:18:48 |  | before validation check
04-09-2020 14:18:49 | 04-09-2020 14:18:49 |  | after validation validation check
04-09-2020 14:18:49 | 04-09-2020 14:18:49 |  | start delete column list
04-09-2020 14:18:49 | 04-09-2020 14:18:49 |  | end delete column list
04-09-2020 14:18:49 | 04-09-2020 14:18:49 |  | create  table object
04-09-2020 14:18:50 | 04-09-2020 14:18:50 |  | start  feed process  
04-09-2020 14:18:50 | FeedProcessId: 1776 | FeedProcessDetailId: 1756 | end  feed process  
04-09-2020 14:18:50 | 04-09-2020 14:18:50 |  | end  feed process
04-09-2020 14:18:50 | 04-09-2020 14:18:50 |  | update  table object
04-09-2020 14:18:50 | 04-09-2020 14:18:50 |  | update end  table object
04-09-2020 14:18:50 | 04-09-2020 14:18:50 |  | add  table object
04-09-2020 14:18:50 | 04-09-2020 14:18:50 |  | add end  table object
04-09-2020 14:18:50 | 04-09-2020 14:18:50 |  | end  updaterow count object
04-09-2020 14:18:50 | 04-09-2020 14:18:50 |  | end  for loop object
04-09-2020 14:18:50 | 04-09-2020 14:18:50 |  | Start Save Testcase
04-09-2020 14:18:50 | 04-09-2020 14:18:50 |  | Complete Save Testcase
04-09-2020 14:19:03 | 04-09-2020 14:19:03 |  | before validation check
04-09-2020 14:31:32 | 04-09-2020 14:31:32 |  | before validation check
04-09-2020 14:31:33 | Save Testcase Exception |  | ORA-01722: invalid number
04-09-2020 14:34:35 | 04-09-2020 14:34:35 |  | before validation check
04-09-2020 14:34:36 | 04-09-2020 14:34:36 |  | after validation validation check
04-09-2020 14:34:36 | 04-09-2020 14:34:36 |  | start delete column list
04-09-2020 14:34:36 | 04-09-2020 14:34:36 |  | end delete column list
04-09-2020 14:34:36 | 04-09-2020 14:34:36 |  | create  table object
04-09-2020 14:34:37 | 04-09-2020 14:34:37 |  | start  feed process  
04-09-2020 14:34:37 | FeedProcessId: 1780 | FeedProcessDetailId: 1760 | end  feed process  
04-09-2020 14:34:37 | 04-09-2020 14:34:37 |  | end  feed process
04-09-2020 14:34:37 | 04-09-2020 14:34:37 |  | update  table object
04-09-2020 14:34:37 | 04-09-2020 14:34:37 |  | update end  table object
04-09-2020 14:34:37 | 04-09-2020 14:34:37 |  | add  table object
04-09-2020 14:34:37 | 04-09-2020 14:34:37 |  | add end  table object
04-09-2020 14:34:37 | 04-09-2020 14:34:37 |  | end  updaterow count object
04-09-2020 14:34:37 | 04-09-2020 14:34:37 |  | end  for loop object
04-09-2020 14:34:37 | 04-09-2020 14:34:37 |  | Start Save Testcase
04-09-2020 14:34:37 | 04-09-2020 14:34:37 |  | Complete Save Testcase
04-09-2020 14:39:22 | 04-09-2020 14:39:22 |  | before validation check
04-09-2020 14:39:23 | 04-09-2020 14:39:23 |  | after validation validation check
04-09-2020 14:39:37 | 04-09-2020 14:39:37 |  | start delete column list
04-09-2020 14:39:39 | 04-09-2020 14:39:39 |  | end delete column list
04-09-2020 14:39:42 | 04-09-2020 14:39:42 |  | create  table object
04-09-2020 14:42:00 | 04-09-2020 14:42:00 |  | start  feed process  
04-09-2020 14:42:00 | FeedProcessId: 1782 | FeedProcessDetailId: 1762 | end  feed process  
04-09-2020 14:42:00 | 04-09-2020 14:42:00 |  | end  feed process
04-09-2020 14:42:00 | 04-09-2020 14:42:00 |  | update  table object
04-09-2020 14:42:00 | 04-09-2020 14:42:00 |  | update end  table object
04-09-2020 14:42:00 | 04-09-2020 14:42:00 |  | add  table object
04-09-2020 14:42:00 | 04-09-2020 14:42:00 |  | add end  table object
04-09-2020 14:42:00 | 04-09-2020 14:42:00 |  | end  updaterow count object
04-09-2020 14:42:00 | 04-09-2020 14:42:00 |  | end  for loop object
04-09-2020 14:42:00 | 04-09-2020 14:42:00 |  | Start Save Testcase
04-09-2020 14:51:03 | 04-09-2020 14:51:03 |  | start  feed process  
04-09-2020 14:51:03 | FeedProcessId: 1783 | FeedProcessDetailId: 1763 | end  feed process  
04-09-2020 14:51:03 | 04-09-2020 14:51:03 |  | end  feed process
04-09-2020 14:51:03 | 04-09-2020 14:51:03 |  | update  table object
04-09-2020 14:51:03 | 04-09-2020 14:51:03 |  | update end  table object
04-09-2020 14:51:03 | 04-09-2020 14:51:03 |  | add  table object
04-09-2020 14:52:03 | 04-09-2020 14:52:03 |  | add end  table object
04-09-2020 14:55:10 | 04-09-2020 14:55:10 |  | start  feed process  
04-09-2020 14:55:10 | FeedProcessId: 1784 | FeedProcessDetailId: 1764 | end  feed process  
04-09-2020 14:55:10 | 04-09-2020 14:55:10 |  | end  feed process
04-09-2020 14:55:10 | 04-09-2020 14:55:10 |  | update  table object
04-09-2020 14:55:10 | 04-09-2020 14:55:10 |  | update end  table object
04-09-2020 14:55:10 | 04-09-2020 14:55:10 |  | add  table object
04-09-2020 14:55:22 | 04-09-2020 14:55:22 |  | add end  table object
04-09-2020 14:56:37 | 04-09-2020 14:56:37 |  | start  feed process  
04-09-2020 14:56:37 | FeedProcessId: 1785 | FeedProcessDetailId: 1765 | end  feed process  
04-09-2020 14:56:37 | 04-09-2020 14:56:37 |  | end  feed process
04-09-2020 14:56:37 | 04-09-2020 14:56:37 |  | update  table object
04-09-2020 14:56:37 | 04-09-2020 14:56:37 |  | update end  table object
04-09-2020 14:56:37 | 04-09-2020 14:56:37 |  | add  table object
04-09-2020 14:56:38 | 04-09-2020 14:56:38 |  | add end  table object
04-09-2020 14:57:27 | 04-09-2020 14:57:27 |  | end  updaterow count object
04-09-2020 14:59:41 | 04-09-2020 14:59:41 |  | create  table object
04-09-2020 14:59:42 | 04-09-2020 14:59:42 |  | start  feed process  
04-09-2020 14:59:42 | FeedProcessId: 1786 | FeedProcessDetailId: 1766 | end  feed process  
04-09-2020 14:59:42 | 04-09-2020 14:59:42 |  | end  feed process
04-09-2020 14:59:42 | 04-09-2020 14:59:42 |  | update  table object
04-09-2020 15:00:03 | 04-09-2020 15:00:03 |  | update end  table object
04-09-2020 15:00:03 | 04-09-2020 15:00:03 |  | add  table object
04-09-2020 15:00:04 | 04-09-2020 15:00:04 |  | add end  table object
